signal_name,pin_number,use,io_standard,pull_type
clk_100mhz_i,R4,INPUT,LVCMOS33,
jtag_tck_i,U20,INPUT,LVCMOS33,
jtag_tdi_i,P14,INPUT,LVCMOS33,
jtag_tdo_o,P15,OUTPUT,LVCMOS33,
jtag_tms_i,U17,INPUT,LVCMOS33,
jtag_trst_ni,R17,INPUT,LVCMOS33,
jtag_srst_ni,P16,INPUT,LVCMOS33,
ddr3_addr[0],M2,OUTPUT,SSTL15,
ddr3_addr[1],M5,OUTPUT,SSTL15,
ddr3_addr[10],L5,OUTPUT,SSTL15,
ddr3_addr[11],N5,OUTPUT,SSTL15,
ddr3_addr[12],N4,OUTPUT,SSTL15,
ddr3_addr[13],P2,OUTPUT,SSTL15,
ddr3_addr[14],P6,OUTPUT,SSTL15,
ddr3_addr[2],M3,OUTPUT,SSTL15,
ddr3_addr[3],M1,OUTPUT,SSTL15,
ddr3_addr[4],L6,OUTPUT,SSTL15,
ddr3_addr[5],P1,OUTPUT,SSTL15,
ddr3_addr[6],N3,OUTPUT,SSTL15,
ddr3_addr[7],N2,OUTPUT,SSTL15,
ddr3_addr[8],M6,OUTPUT,SSTL15,
ddr3_addr[9],R1,OUTPUT,SSTL15,
ddr3_ba[0],L3,OUTPUT,SSTL15,
ddr3_ba[1],K6,OUTPUT,SSTL15,
ddr3_ba[2],L4,OUTPUT,SSTL15,
ddr3_cas_n,K3,OUTPUT,SSTL15,
ddr3_ck_n[0],P4,OUTPUT,DIFF_SSTL15,
ddr3_ck_p[0],P5,OUTPUT,DIFF_SSTL15,
ddr3_cke[0],J6,OUTPUT,SSTL15,
ddr3_dm[0],G3,OUTPUT,SSTL15,
ddr3_dm[1],F1,OUTPUT,SSTL15,
ddr3_dq[0],G2,BIDIR,SSTL15,
ddr3_dq[1],H4,BIDIR,SSTL15,
ddr3_dq[10],F3,BIDIR,SSTL15,
ddr3_dq[11],D2,BIDIR,SSTL15,
ddr3_dq[12],C2,BIDIR,SSTL15,
ddr3_dq[13],A1,BIDIR,SSTL15,
ddr3_dq[14],E2,BIDIR,SSTL15,
ddr3_dq[15],B1,BIDIR,SSTL15,
ddr3_dq[2],H5,BIDIR,SSTL15,
ddr3_dq[3],J1,BIDIR,SSTL15,
ddr3_dq[4],K1,BIDIR,SSTL15,
ddr3_dq[5],H3,BIDIR,SSTL15,
ddr3_dq[6],H2,BIDIR,SSTL15,
ddr3_dq[7],J5,BIDIR,SSTL15,
ddr3_dq[8],E3,BIDIR,SSTL15,
ddr3_dq[9],B2,BIDIR,SSTL15,
ddr3_dqs_n[0],J2,BIDIR,DIFF_SSTL15,
ddr3_dqs_n[1],D1,BIDIR,DIFF_SSTL15,
ddr3_dqs_p[0],K2,BIDIR,DIFF_SSTL15,
ddr3_dqs_p[1],E1,BIDIR,DIFF_SSTL15,
ddr3_odt[0],K4,OUTPUT,SSTL15,
ddr3_ras_n,J4,OUTPUT,SSTL15,
ddr3_reset_n,G1,OUTPUT,LVCMOS15,
ddr3_we_n,L1,OUTPUT,SSTL15,
led_o[0],T14,OUTPUT,LVCMOS25,
led_o[1],T15,OUTPUT,LVCMOS25,
led_o[2],T16,OUTPUT,LVCMOS25,
led_o[3],U16,OUTPUT,LVCMOS25,
led_o[4],V15,OUTPUT,LVCMOS25,
led_o[5],W16,OUTPUT,LVCMOS25,
led_o[6],W15,OUTPUT,LVCMOS25,
led_o[7],Y13,OUTPUT,LVCMOS25,
switch_i[0],E22,INPUT,LVCMOS12,
switch_i[1],F21,INPUT,LVCMOS12,
switch_i[2],G21,INPUT,LVCMOS12,
switch_i[3],G22,INPUT,LVCMOS12,
switch_i[4],H17,INPUT,LVCMOS12,
switch_i[5],J16,INPUT,LVCMOS12,
switch_i[6],K13,INPUT,LVCMOS12,
switch_i[7],M17,INPUT,LVCMOS12,
uart_rx_out,AA19,OUTPUT,LVCMOS33,
uart_tx_in,V18,INPUT,LVCMOS33,
ps2_clk,W17,BIDIR,LVCMOS33,PULLUP
ps2_data,N13,BIDIR,LVCMOS33,PULLUP
scl,W5,BIDIR,LVCMOS33,
sda,V5,BIDIR,LVCMOS33,
oled_dc,W22,OUTPUT,LVCMOS33,
oled_res,U21,OUTPUT,LVCMOS33,
oled_sclk,W21,OUTPUT,LVCMOS33,
oled_sdin,Y22,OUTPUT,LVCMOS33,
oled_vbat,P20,OUTPUT,LVCMOS33,
oled_vdd,V22,OUTPUT,LVCMOS33,
ac_adc_sdata,T4,INPUT,LVCMOS33,
ac_bclk,T5,OUTPUT,LVCMOS33,
ac_dac_sdata,W6,OUTPUT,LVCMOS33,
ac_lrclk,U5,OUTPUT,LVCMOS33,
ac_mclk,U6,OUTPUT,LVCMOS33,
sd_cd,T18,INPUT,LVCMOS33,
sd_cs,U18,OUTPUT,LVCMOS33,
sd_miso,V19,INPUT,LVCMOS33,
sd_mosi,W20,OUTPUT,LVCMOS33,
sd_reset,V20,OUTPUT,LVCMOS33,
sd_sck,W19,OUTPUT,LVCMOS33,
hdmi_rx_cec,AA5,BIDIR,LVCMOS33,
hdmi_rx_clk_n,W4,INPUT,TMDS_33,
hdmi_rx_clk_p,V4,INPUT,TMDS_33,
hdmi_rx_hpa,AB12,OUTPUT,LVCMOS25,
hdmi_rx_n[0],AA3,INPUT,TMDS_33,
hdmi_rx_n[1],Y2,INPUT,TMDS_33,
hdmi_rx_n[2],V2,INPUT,TMDS_33,
hdmi_rx_p[0],Y3,INPUT,TMDS_33,
hdmi_rx_p[1],W2,INPUT,TMDS_33,
hdmi_rx_p[2],U2,INPUT,TMDS_33,
hdmi_rx_scl,Y4,BIDIR,LVCMOS33,
hdmi_rx_sda,AB5,BIDIR,LVCMOS33,
hdmi_rx_txen,R3,OUTPUT,LVCMOS33,
hdmi_tx_cec,AA4,BIDIR,LVCMOS33,
hdmi_tx_clk_n,U1,OUTPUT,TMDS_33,
hdmi_tx_clk_p,T1,OUTPUT,TMDS_33,
hdmi_tx_hpd,AB13,INPUT,LVCMOS25,
hdmi_tx_n[0],Y1,OUTPUT,TMDS_33,
hdmi_tx_n[1],AB1,OUTPUT,TMDS_33,
hdmi_tx_n[2],AB2,OUTPUT,TMDS_33,
hdmi_tx_p[0],W1,OUTPUT,TMDS_33,
hdmi_tx_p[1],AA1,OUTPUT,TMDS_33,
hdmi_tx_p[2],AB3,OUTPUT,TMDS_33,
hdmi_tx_rscl,U3,BIDIR,LVCMOS33,
hdmi_tx_rsda,V3,BIDIR,LVCMOS33,
eth_int_b,Y14,INPUT,LVCMOS25,
eth_mdc,AA16,OUTPUT,LVCMOS25,
eth_mdio,Y16,BIDIR,LVCMOS25,
eth_pme_b,W14,INPUT,LVCMOS25,
eth_rst_b,U7,OUTPUT,LVCMOS33,
eth_rxck,V13,INPUT,LVCMOS25,
